"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dno"
"Druid","Restoration","Reactive Resin","Restoration.Druid","dno"
"Druid","Restoration","High Winds","Restoration.Druid","dno"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","ichikokoro"
"Priest","Discipline","Trinity","Discipline.Priest","ichikokoro"
"Priest","Discipline","Inner Light and Shadow","Discipline.Priest","ichikokoro"
"Rogue","Assassination","Flying Daggers","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","System Shock","Assassination.Rogue","sinepymkcus"
"Mage","Fire","Pyrokinesis","Fire.Mage","hansol"
"Mage","Fire","Flamecannon","Fire.Mage","hansol"
"Mage","Fire","Tinder","Fire.Mage","hansol"
"Druid","Feral","Thorns","Feral.Druid","axtin"
"Druid","Feral","Wicked Claws","Feral.Druid","axtin"
"Druid","Feral","Strength of the Wild","Feral.Druid","axtin"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","lvladen"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","lvladen"
"Paladin","Retribution","Law and Order","Retribution.Paladin","lvladen"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","tmpikaboo"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","corbin"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","corbin"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","corbin"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","baldzx"
"Rogue","Assassination","Dismantle","Assassination.Rogue","baldzx"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","baldzx"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","dempy"
"Druid","Restoration","Thorns","Restoration.Druid","dempy"
"Druid","Restoration","Focused Growth","Restoration.Druid","dempy"
"Rogue","Assassination","Dismantle","Assassination.Rogue","djxx"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","djxx"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","djxx"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","coalie"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","coalie"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","coalie"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","cynthadra"
"Mage","Fire","Pyrokinesis","Fire.Mage","xaryu"
"Mage","Fire","Tinder","Fire.Mage","xaryu"
"Mage","Fire","Netherwind Armor","Fire.Mage","xaryu"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","mgxo"
"Priest","Discipline","Dome of Light","Discipline.Priest","mgxo"
"Priest","Discipline","Dark Archangel","Discipline.Priest","mgxo"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","wnx"
"Shaman","Restoration","Living Tide","Restoration.Shaman","wnx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","wnx"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","revolutio"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","inthemorning"
"Rogue","Assassination","Dismantle","Assassination.Rogue","inthemorning"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","inthemorning"
"Rogue","Subtlety","Maneuverability","Subtlety.Rogue","qx"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","qx"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","qx"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Living Tide","Restoration.Shaman","gatorwaves"
"Druid","Feral","Wicked Claws","Feral.Druid","claws"
"Druid","Feral","Leader of the Pack","Feral.Druid","claws"
"Druid","Feral","Strength of the Wild","Feral.Druid","claws"
"Hunter","Survival","Survival Tactics","Survival.Hunter","chaisse"
"Hunter","Survival","Chimaeral Sting","Survival.Hunter","chaisse"
"Hunter","Survival","Roar of Sacrifice","Survival.Hunter","chaisse"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","trillr"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","trillr"
"Rogue","Outlaw","Dismantle","Outlaw.Rogue","trillr"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","whatoncewas"
"Paladin","Holy","Divine Favor","Holy.Paladin","whatoncewas"
"Paladin","Holy","Blessed Hands","Holy.Paladin","whatoncewas"
"Death Knight","Frost","Dead of Winter","Frost.Death Knight","degdk"
"Death Knight","Frost","Death's Echo","Frost.Death Knight","degdk"
"Death Knight","Frost","Strangulate","Frost.Death Knight","degdk"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","ilovermp"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","ilovermp"
"Shaman","Restoration","Grounding Totem","Restoration.Shaman","dehsaw"
"Shaman","Restoration","Living Tide","Restoration.Shaman","dehsaw"
"Shaman","Restoration","Ancestral Gift","Restoration.Shaman","dehsaw"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","rumpology"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","rumpology"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","rumpology"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","pacee"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","pacee"
"Hunter","Beast Mastery","Chimaeral Sting","Beast Mastery.Hunter","hogx"
"Hunter","Beast Mastery","Survival Tactics","Beast Mastery.Hunter","hogx"
"Hunter","Beast Mastery","Roar of Sacrifice","Beast Mastery.Hunter","hogx"
"Priest","Holy","Greater Fade","Holy.Priest","timidp"
"Priest","Holy","Miracle Worker","Holy.Priest","timidp"
"Priest","Holy","Divine Ascension","Holy.Priest","timidp"
"Warlock","Destruction","Fel Fissure","Destruction.Warlock","ibuildwalls"
"Warlock","Destruction","Nether Ward","Destruction.Warlock","ibuildwalls"
"Warlock","Destruction","Bane of Fragility","Destruction.Warlock","ibuildwalls"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","gagadaga"
