"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Mage","Fire","Pyrokinesis","Fire.Mage","hansol"
"Mage","Fire","Ring of Fire","Fire.Mage","hansol"
"Mage","Fire","Tinder","Fire.Mage","hansol"
"Mage","Fire","Flamecannon","Fire.Mage","nukedx"
"Mage","Fire","Tinder","Fire.Mage","nukedx"
"Mage","Fire","Pyrokinesis","Fire.Mage","nukedx"
"Priest","Holy","Miracle Worker","Holy.Priest","mason"
"Priest","Holy","Ray of Hope","Holy.Priest","mason"
"Priest","Holy","Greater Fade","Holy.Priest","mason"
"Rogue","Outlaw","Float Like a Butterfly","Outlaw.Rogue","fdb"
"Rogue","Outlaw","Enduring Brawler","Outlaw.Rogue","fdb"
"Rogue","Outlaw","Maneuverability","Outlaw.Rogue","fdb"
"Priest","Holy","Ray of Hope","Holy.Priest","mindboink"
"Priest","Holy","Greater Fade","Holy.Priest","mindboink"
"Priest","Holy","Miracle Worker","Holy.Priest","mindboink"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","romulap"
"Rogue","Subtlety","Thick as Thieves","Subtlety.Rogue","romulap"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","romulap"
"Druid","Restoration","Early Spring","Restoration.Druid","gilysel"
"Druid","Restoration","Reactive Resin","Restoration.Druid","gilysel"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","gilysel"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","palumor"
"Rogue","Subtlety","Dismantle","Subtlety.Rogue","palumor"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","palumor"
"Priest","Holy","Divine Ascension","Holy.Priest","waylor"
"Priest","Holy","Greater Fade","Holy.Priest","waylor"
"Priest","Holy","Miracle Worker","Holy.Priest","waylor"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","xeniél"
"Paladin","Retribution","Luminescence","Retribution.Paladin","xeniél"
"Paladin","Retribution","Vengeance Aura","Retribution.Paladin","xeniél"
"Warrior","Arms","Sharpen Blade","Arms.Warrior","clapperr"
"Warrior","Arms","Disarm","Arms.Warrior","clapperr"
"Warrior","Arms","War Banner","Arms.Warrior","clapperr"
"Druid","Balance","Moonkin Aura","Balance.Druid","rudar"
"Druid","Balance","Owlkin Adept","Balance.Druid","rudar"
"Druid","Balance","High Winds","Balance.Druid","rudar"
"Priest","Holy","Miracle Worker","Holy.Priest","icarryozz"
"Priest","Holy","Ray of Hope","Holy.Priest","icarryozz"
"Priest","Holy","Greater Fade","Holy.Priest","icarryozz"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","retgòd"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","retgòd"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","retgòd"
"Druid","Restoration","Early Spring","Restoration.Druid","lesylig"
"Druid","Restoration","Reactive Resin","Restoration.Druid","lesylig"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","lesylig"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","cloudluti"
"Paladin","Retribution","Blessing of Sanctuary","Retribution.Paladin","cloudluti"
"Paladin","Retribution","Unbound Freedom","Retribution.Paladin","cloudluti"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","pd"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","pd"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","pd"
"Paladin","Retribution","Aura of Reckoning","Retribution.Paladin","cjqyyds"
"Paladin","Retribution","Vengeance Aura","Retribution.Paladin","cjqyyds"
"Paladin","Retribution","Luminescence","Retribution.Paladin","cjqyyds"
"Mage","Fire","Ring of Fire","Fire.Mage","døpåmínè"
"Mage","Fire","Pyrokinesis","Fire.Mage","døpåmínè"
"Mage","Fire","Netherwind Armor","Fire.Mage","døpåmínè"
"Druid","Restoration","Focused Growth","Restoration.Druid","nogàrd"
"Druid","Restoration","Keeper of the Grove","Restoration.Druid","nogàrd"
"Druid","Restoration","Reactive Resin","Restoration.Druid","nogàrd"
"Warlock","Demonology","Call Felhunter","Demonology.Warlock","thugonomicz"
"Warlock","Demonology","Fel Obelisk","Demonology.Warlock","thugonomicz"
"Warlock","Demonology","Master Summoner","Demonology.Warlock","thugonomicz"
"Warrior","Fury","Enduring Rage","Fury.Warrior","lagzistance"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","lagzistance"
