"Class","Spec","PvP.Talent","Spec.Class","Char.Name"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","toddplaysttv"
"Priest","Discipline","Dome of Light","Discipline.Priest","toddplaysttv"
"Priest","Discipline","Trinity","Discipline.Priest","toddplaysttv"
"Monk","Mistweaver","Dematerialize","Mistweaver.Monk","dingle"
"Monk","Mistweaver","Zen Focus Tea","Mistweaver.Monk","dingle"
"Monk","Mistweaver","Peaceweaver","Mistweaver.Monk","dingle"
"Druid","Balance","Moonkin Aura","Balance.Druid","thugrose"
"Druid","Balance","Owlkin Adept","Balance.Druid","thugrose"
"Druid","Balance","Star Burst","Balance.Druid","thugrose"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","muchopower"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","muchopower"
"Warlock","Affliction","Casting Circle","Affliction.Warlock","muchopower"
"Priest","Discipline","Ultimate Radiance","Discipline.Priest","fatherhands"
"Priest","Discipline","Trinity","Discipline.Priest","fatherhands"
"Priest","Discipline","Dome of Light","Discipline.Priest","fatherhands"
"Priest","Holy","Ray of Hope","Holy.Priest","sipmeslowly"
"Priest","Holy","Miracle Worker","Holy.Priest","sipmeslowly"
"Priest","Holy","Greater Fade","Holy.Priest","sipmeslowly"
"Rogue","Subtlety","Maneuverability","Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Shadowy Duel","Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Smoke Bomb","Subtlety.Rogue","pilbobagginz"
"Warrior","Fury","Battle Trance","Fury.Warrior","notmagnusz"
"Warrior","Fury","Enduring Rage","Fury.Warrior","notmagnusz"
"Warrior","Fury","Slaughterhouse","Fury.Warrior","notmagnusz"
"Warlock","Affliction","Rapid Contagion","Affliction.Warlock","jhanndor"
"Warlock","Affliction","Deathbolt","Affliction.Warlock","jhanndor"
"Warlock","Affliction","Rampant Afflictions","Affliction.Warlock","jhanndor"
"Priest","Holy","Miracle Worker","Holy.Priest","chapyh"
"Priest","Holy","Greater Fade","Holy.Priest","chapyh"
"Priest","Holy","Ray of Hope","Holy.Priest","chapyh"
"Rogue","Assassination","Smoke Bomb","Assassination.Rogue","lethalninja"
"Rogue","Assassination","Hemotoxin","Assassination.Rogue","lethalninja"
"Rogue","Assassination","System Shock","Assassination.Rogue","lethalninja"
"Demon Hunter","Havoc","Reverse Magic","Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Demonic Origins","Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Mortal Dance","Havoc.Demon Hunter","dhkyle"
"Paladin","Holy","Ultimate Sacrifice","Holy.Paladin","utrheedd"
"Paladin","Holy","Darkest before the Dawn","Holy.Paladin","utrheedd"
"Paladin","Holy","Divine Favor","Holy.Paladin","utrheedd"
