"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","dno"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","dno"
"Druid","Restoration","Feral Affinity",30,"Restoration.Druid","dno"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","dno"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","dno"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","dno"
"Druid","Restoration","Flourish",50,"Restoration.Druid","dno"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","ichikokoro"
"Priest","Discipline","Evangelism",50,"Discipline.Priest","ichikokoro"
"Rogue","Assassination","Elaborate Planning",15,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Master Assassin",25,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Deeper Stratagem",30,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Cheat Death",35,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","sinepymkcus"
"Rogue","Assassination","Hidden Blades",50,"Assassination.Rogue","sinepymkcus"
"Mage","Fire","Firestarter",15,"Fire.Mage","hansol"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","hansol"
"Mage","Fire","Rune of Power",30,"Fire.Mage","hansol"
"Mage","Fire","Flame On",35,"Fire.Mage","hansol"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","hansol"
"Mage","Fire","Living Bomb",45,"Fire.Mage","hansol"
"Mage","Fire","Kindling",50,"Fire.Mage","hansol"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","axtin"
"Druid","Feral","Wild Charge",25,"Feral.Druid","axtin"
"Druid","Feral","Restoration Affinity",30,"Feral.Druid","axtin"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","axtin"
"Druid","Feral","Soul of the Forest",40,"Feral.Druid","axtin"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","axtin"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","axtin"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Unbreakable Spirit",35,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","lvladen"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","lvladen"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Soothing Darkness",35,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","tmpikaboo"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","tmpikaboo"
"Rogue","Outlaw","Quick Draw",15,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","corbin"
"Rogue","Outlaw","Blade Rush",50,"Outlaw.Rogue","corbin"
"Rogue","Assassination","Master Poisoner",15,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Subterfuge",25,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Elusiveness",35,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","baldzx"
"Rogue","Assassination","Poison Bomb",50,"Assassination.Rogue","baldzx"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","dempy"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","dempy"
"Druid","Restoration","Feral Affinity",30,"Restoration.Druid","dempy"
"Druid","Restoration","Mighty Bash",35,"Restoration.Druid","dempy"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","dempy"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","dempy"
"Druid","Restoration","Flourish",50,"Restoration.Druid","dempy"
"Rogue","Assassination","Master Poisoner",15,"Assassination.Rogue","djxx"
"Rogue","Assassination","Subterfuge",25,"Assassination.Rogue","djxx"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","djxx"
"Rogue","Assassination","Cheat Death",35,"Assassination.Rogue","djxx"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","djxx"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","djxx"
"Rogue","Assassination","Poison Bomb",50,"Assassination.Rogue","djxx"
"Rogue","Subtlety","Weaponmaster",15,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Deeper Stratagem",30,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","coalie"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","coalie"
"Demon Hunter","Havoc","Felblade",15,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Demon Blades",25,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Trail of Ruin",30,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Netherwalk",35,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","First Blood",40,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Fel Eruption",45,"Havoc.Demon Hunter","cynthadra"
"Demon Hunter","Havoc","Demonic",50,"Havoc.Demon Hunter","cynthadra"
"Mage","Fire","Firestarter",15,"Fire.Mage","xaryu"
"Mage","Fire","Blazing Soul",25,"Fire.Mage","xaryu"
"Mage","Fire","Rune of Power",30,"Fire.Mage","xaryu"
"Mage","Fire","Flame On",35,"Fire.Mage","xaryu"
"Mage","Fire","Ring of Frost",40,"Fire.Mage","xaryu"
"Mage","Fire","Living Bomb",45,"Fire.Mage","xaryu"
"Mage","Fire","Kindling",50,"Fire.Mage","xaryu"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","mgxo"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","mgxo"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","mgxo"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","mgxo"
"Priest","Discipline","Contrition",40,"Discipline.Priest","mgxo"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","mgxo"
"Priest","Discipline","Lenience",50,"Discipline.Priest","mgxo"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","wnx"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","wnx"
"Shaman","Restoration","Earthen Wall Totem",35,"Restoration.Shaman","wnx"
"Shaman","Restoration","Graceful Spirit",40,"Restoration.Shaman","wnx"
"Shaman","Restoration","Flash Flood",45,"Restoration.Shaman","wnx"
"Shaman","Restoration","Ascendance",50,"Restoration.Shaman","wnx"
"Demon Hunter","Havoc","Felblade",15,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demon Blades",25,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Unbound Chaos",30,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Soul Rending",35,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","First Blood",40,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Fel Eruption",45,"Havoc.Demon Hunter","revolutio"
"Demon Hunter","Havoc","Demonic",50,"Havoc.Demon Hunter","revolutio"
"Rogue","Assassination","Master Poisoner",15,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Subterfuge",25,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Elusiveness",35,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","inthemorning"
"Rogue","Assassination","Poison Bomb",50,"Assassination.Rogue","inthemorning"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Deeper Stratagem",30,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","qx"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","qx"
"Shaman","Restoration","Unleash Life",15,"Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Echo of the Elements",25,"Restoration.Shaman","gatorwaves"
"Shaman","Restoration","Earthgrab Totem",30,"Restoration.Shaman","gatorwaves"
