"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Druid","Restoration","Cenarion Ward",15,"Restoration.Druid","dno"
"Druid","Restoration","Wild Charge",25,"Restoration.Druid","dno"
"Druid","Restoration","Guardian Affinity",30,"Restoration.Druid","dno"
"Druid","Restoration","Mass Entanglement",35,"Restoration.Druid","dno"
"Druid","Restoration","Soul of the Forest",40,"Restoration.Druid","dno"
"Druid","Restoration","Overgrowth",45,"Restoration.Druid","dno"
"Druid","Restoration","Flourish",50,"Restoration.Druid","dno"
"Priest","Discipline","Castigation",15,"Discipline.Priest","pxdx"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","pxdx"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","pxdx"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","pxdx"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","pxdx"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","pxdx"
"Priest","Discipline","Lenience",50,"Discipline.Priest","pxdx"
"Rogue","Outlaw","Quick Draw",15,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","sadiator"
"Rogue","Outlaw","Blade Rush",50,"Outlaw.Rogue","sadiator"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Subterfuge",25,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","lawbinger"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","lawbinger"
"Hunter","Survival","Alpha Predator",15,"Survival.Hunter","bicmex"
"Hunter","Survival","Guerrilla Tactics",25,"Survival.Hunter","bicmex"
"Hunter","Survival","Camouflage",30,"Survival.Hunter","bicmex"
"Hunter","Survival","Steel Trap",35,"Survival.Hunter","bicmex"
"Hunter","Survival","Posthaste",40,"Survival.Hunter","bicmex"
"Hunter","Survival","Flanking Strike",45,"Survival.Hunter","bicmex"
"Hunter","Survival","Wildfire Infusion",50,"Survival.Hunter","bicmex"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","nessper"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","nessper"
"Monk","Mistweaver","Mist Wrap",15,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Chi Torpedo",25,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Lifecycles",30,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Ring of Peace",35,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Healing Elixir",40,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Summon Jade Serpent Statue",45,"Mistweaver.Monk","feedgødx"
"Monk","Mistweaver","Focused Thunder",50,"Mistweaver.Monk","feedgødx"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","feralgenius"
"Druid","Feral","Wild Charge",25,"Feral.Druid","feralgenius"
"Druid","Feral","Guardian Affinity",30,"Feral.Druid","feralgenius"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","feralgenius"
"Druid","Feral","Soul of the Forest",40,"Feral.Druid","feralgenius"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","feralgenius"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","feralgenius"
"Priest","Discipline","Castigation",15,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","pxdxtwo"
"Priest","Discipline","Lenience",50,"Discipline.Priest","pxdxtwo"
"Rogue","Outlaw","Quick Draw",15,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Acrobatic Strikes",25,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Deeper Stratagem",30,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Elusiveness",35,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Blinding Powder",40,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Alacrity",45,"Outlaw.Rogue","sevenseconds"
"Rogue","Outlaw","Blade Rush",50,"Outlaw.Rogue","sevenseconds"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","fusex"
"Druid","Feral","Wild Charge",25,"Feral.Druid","fusex"
"Druid","Feral","Guardian Affinity",30,"Feral.Druid","fusex"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","fusex"
"Druid","Feral","Soul of the Forest",40,"Feral.Druid","fusex"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","fusex"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","fusex"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","borugg"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","borugg"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","borugg"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","borugg"
"Priest","Holy","Surge of Light",40,"Holy.Priest","borugg"
"Priest","Holy","Benediction",45,"Holy.Priest","borugg"
"Priest","Holy","Apotheosis",50,"Holy.Priest","borugg"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","axtin"
"Druid","Feral","Wild Charge",25,"Feral.Druid","axtin"
"Druid","Feral","Guardian Affinity",30,"Feral.Druid","axtin"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","axtin"
"Druid","Feral","Savage Roar",40,"Feral.Druid","axtin"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","axtin"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","axtin"
"Druid","Feral","Lunar Inspiration",15,"Feral.Druid","notinsanity"
"Druid","Feral","Wild Charge",25,"Feral.Druid","notinsanity"
"Druid","Feral","Guardian Affinity",30,"Feral.Druid","notinsanity"
"Druid","Feral","Mighty Bash",35,"Feral.Druid","notinsanity"
"Druid","Feral","Soul of the Forest",40,"Feral.Druid","notinsanity"
"Druid","Feral","Brutal Slash",45,"Feral.Druid","notinsanity"
"Druid","Feral","Feral Frenzy",50,"Feral.Druid","notinsanity"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","ømegagødx"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","ømegagødx"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","ømegagødx"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","ømegagødx"
"Priest","Holy","Surge of Light",40,"Holy.Priest","ømegagødx"
"Priest","Holy","Benediction",45,"Holy.Priest","ømegagødx"
"Priest","Holy","Apotheosis",50,"Holy.Priest","ømegagødx"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","eivirheitä"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","eivirheitä"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","eivirheitä"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","eivirheitä"
"Priest","Holy","Surge of Light",40,"Holy.Priest","eivirheitä"
"Priest","Holy","Benediction",45,"Holy.Priest","eivirheitä"
"Priest","Holy","Apotheosis",50,"Holy.Priest","eivirheitä"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","señorvac"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","señorvac"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","señorvac"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","señorvac"
"Priest","Holy","Surge of Light",40,"Holy.Priest","señorvac"
"Priest","Holy","Benediction",45,"Holy.Priest","señorvac"
"Priest","Holy","Apotheosis",50,"Holy.Priest","señorvac"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","sollaira"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","sollaira"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","sollaira"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","sollaira"
"Priest","Holy","Surge of Light",40,"Holy.Priest","sollaira"
"Priest","Holy","Benediction",45,"Holy.Priest","sollaira"
"Priest","Holy","Apotheosis",50,"Holy.Priest","sollaira"
"Hunter","Beast Mastery","Animal Companion",15,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Scent of Blood",25,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Camouflage",30,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Thrill of the Hunt",35,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Posthaste",40,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Stomp",45,"Beast Mastery.Hunter","ssds"
"Hunter","Beast Mastery","Aspect of the Beast",50,"Beast Mastery.Hunter","ssds"
"Priest","Discipline","Castigation",15,"Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Mindbender",30,"Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Psychic Voice",35,"Discipline.Priest","æßøäîètîÿ"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","æßøäîètîÿ"
