"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Lenience",50,"Discipline.Priest","toddplaysttv"
"Monk","Mistweaver","Mist Wrap",15,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Chi Torpedo",25,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Mana Tea",30,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Ring of Peace",35,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Healing Elixir",40,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Summon Jade Serpent Statue",45,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Focused Thunder",50,"Mistweaver.Monk","dingle"
"Druid","Balance","Force of Nature",15,"Balance.Druid","thugrose"
"Druid","Balance","Wild Charge",25,"Balance.Druid","thugrose"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","thugrose"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","thugrose"
"Druid","Balance","Incarnation: Chosen of Elune",40,"Balance.Druid","thugrose"
"Druid","Balance","Stellar Drift",45,"Balance.Druid","thugrose"
"Druid","Balance","Fury of Elune",50,"Balance.Druid","thugrose"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Mortal Coil",40,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","muchopower"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","muchopower"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","fatherhands"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","fatherhands"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","fatherhands"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","fatherhands"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","fatherhands"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","fatherhands"
"Priest","Discipline","Lenience",50,"Discipline.Priest","fatherhands"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","sipmeslowly"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","sipmeslowly"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","sipmeslowly"
"Priest","Holy","Psychic Voice",35,"Holy.Priest","sipmeslowly"
"Priest","Holy","Surge of Light",40,"Holy.Priest","sipmeslowly"
"Priest","Holy","Benediction",45,"Holy.Priest","sipmeslowly"
"Priest","Holy","Apotheosis",50,"Holy.Priest","sipmeslowly"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Subterfuge",25,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Marked for Death",30,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","pilbobagginz"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","pilbobagginz"
"Warrior","Fury","Sudden Death",15,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Impending Victory",25,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Frenzy",30,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Warpaint",35,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Cruelty",40,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Bladestorm",45,"Fury.Warrior","notmagnusz"
"Warrior","Fury","Reckless Abandon",50,"Fury.Warrior","notmagnusz"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Howl of Terror",40,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","jhanndor"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","jhanndor"
"Priest","Holy","Renewed Faith",15,"Holy.Priest","chapyh"
"Priest","Holy","Angelic Feather",25,"Holy.Priest","chapyh"
"Priest","Holy","Guardian Angel",30,"Holy.Priest","chapyh"
"Priest","Holy","Censure",35,"Holy.Priest","chapyh"
"Priest","Holy","Surge of Light",40,"Holy.Priest","chapyh"
"Priest","Holy","Divine Star",45,"Holy.Priest","chapyh"
"Priest","Holy","Apotheosis",50,"Holy.Priest","chapyh"
"Rogue","Assassination","Master Poisoner",15,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Subterfuge",25,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Marked for Death",30,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Cheat Death",35,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Internal Bleeding",40,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Alacrity",45,"Assassination.Rogue","lethalninja"
"Rogue","Assassination","Poison Bomb",50,"Assassination.Rogue","lethalninja"
"Demon Hunter","Havoc","Felblade",15,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Demon Blades",25,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Unbound Chaos",30,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Netherwalk",35,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","First Blood",40,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Fel Eruption",45,"Havoc.Demon Hunter","dhkyle"
"Demon Hunter","Havoc","Demonic",50,"Havoc.Demon Hunter","dhkyle"
"Paladin","Holy","Bestow Faith",15,"Holy.Paladin","utrheedd"
"Paladin","Holy","Saved by the Light",25,"Holy.Paladin","utrheedd"
"Paladin","Holy","Fist of Justice",30,"Holy.Paladin","utrheedd"
"Paladin","Holy","Unbreakable Spirit",35,"Holy.Paladin","utrheedd"
"Paladin","Holy","Divine Purpose",40,"Holy.Paladin","utrheedd"
"Paladin","Holy","Awakening",45,"Holy.Paladin","utrheedd"
"Paladin","Holy","Beacon of Faith",50,"Holy.Paladin","utrheedd"
"Hunter","Marksmanship","Master Marksman",15,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Explosive Shot",25,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Camouflage",30,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Streamline",35,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Posthaste",40,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Double Tap",45,"Marksmanship.Hunter","iittleman"
"Hunter","Marksmanship","Volley",50,"Marksmanship.Hunter","iittleman"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","theboomkin"
"Druid","Balance","Wild Charge",25,"Balance.Druid","theboomkin"
