"Class","Spec","Talent","Talent.Level","Spec.Class","Char.Name"
"Monk","Mistweaver","Mist Wrap",15,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Chi Torpedo",25,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Mana Tea",30,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Ring of Peace",35,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Healing Elixir",40,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Summon Jade Serpent Statue",45,"Mistweaver.Monk","dingle"
"Monk","Mistweaver","Focused Thunder",50,"Mistweaver.Monk","dingle"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Eye for an Eye",35,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","imitlul"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","imitlul"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","thugrose"
"Druid","Balance","Wild Charge",25,"Balance.Druid","thugrose"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","thugrose"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","thugrose"
"Druid","Balance","Incarnation: Chosen of Elune",40,"Balance.Druid","thugrose"
"Druid","Balance","Twin Moons",45,"Balance.Druid","thugrose"
"Druid","Balance","Fury of Elune",50,"Balance.Druid","thugrose"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","suspexyz"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","suspexyz"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","suspexyz"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","suspexyz"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","suspexyz"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","suspexyz"
"Priest","Discipline","Lenience",50,"Discipline.Priest","suspexyz"
"Death Knight","Frost","Inexorable Assault",15,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Murderous Efficiency",25,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Asphyxiate",30,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Avalanche",35,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Wraith Walk",40,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Gathering Storm",45,"Frost.Death Knight","rzxy"
"Death Knight","Frost","Obliteration",50,"Frost.Death Knight","rzxy"
"Druid","Guardian","Brambles",15,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Wild Charge",25,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Balance Affinity",30,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Mass Entanglement",35,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Incarnation: Guardian of Ursoc",40,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Survival of the Fittest",45,"Guardian.Druid","ilovemycatxo"
"Druid","Guardian","Rend and Tear",50,"Guardian.Druid","ilovemycatxo"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Mortal Coil",40,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","sktfäker"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","sktfäker"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","nephxd"
"Druid","Balance","Wild Charge",25,"Balance.Druid","nephxd"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","nephxd"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","nephxd"
"Druid","Balance","Incarnation: Chosen of Elune",40,"Balance.Druid","nephxd"
"Druid","Balance","Twin Moons",45,"Balance.Druid","nephxd"
"Druid","Balance","Solstice",50,"Balance.Druid","nephxd"
"Monk","Mistweaver","Mist Wrap",15,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Chi Torpedo",25,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Mana Tea",30,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Ring of Peace",35,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Healing Elixir",40,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Summon Jade Serpent Statue",45,"Mistweaver.Monk","trigxzy"
"Monk","Mistweaver","Focused Thunder",50,"Mistweaver.Monk","trigxzy"
"Death Knight","Frost","Icy Talons",15,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Murderous Efficiency",25,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Blinding Sleet",30,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Avalanche",35,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Wraith Walk",40,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Gathering Storm",45,"Frost.Death Knight","dntgetknockd"
"Death Knight","Frost","Breath of Sindragosa",50,"Frost.Death Knight","dntgetknockd"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","xmewo"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","xmewo"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","xmewo"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","xmewo"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","xmewo"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","xmewo"
"Priest","Discipline","Lenience",50,"Discipline.Priest","xmewo"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","soisix"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","soisix"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","soisix"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","soisix"
"Warlock","Affliction","Howl of Terror",40,"Affliction.Warlock","soisix"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","soisix"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","soisix"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Body and Soul",25,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Shield Discipline",30,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","toddplaysttv"
"Priest","Discipline","Lenience",50,"Discipline.Priest","toddplaysttv"
"Warlock","Affliction","Inevitable Demise",15,"Affliction.Warlock","kill"
"Warlock","Affliction","Writhe in Agony",25,"Affliction.Warlock","kill"
"Warlock","Affliction","Dark Pact",30,"Affliction.Warlock","kill"
"Warlock","Affliction","Phantom Singularity",35,"Affliction.Warlock","kill"
"Warlock","Affliction","Mortal Coil",40,"Affliction.Warlock","kill"
"Warlock","Affliction","Grimoire of Sacrifice",45,"Affliction.Warlock","kill"
"Warlock","Affliction","Dark Soul: Misery",50,"Affliction.Warlock","kill"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","shrom"
"Druid","Balance","Wild Charge",25,"Balance.Druid","shrom"
"Druid","Balance","Restoration Affinity",30,"Balance.Druid","shrom"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","shrom"
"Druid","Balance","Incarnation: Chosen of Elune",40,"Balance.Druid","shrom"
"Druid","Balance","Stellar Drift",45,"Balance.Druid","shrom"
"Druid","Balance","Fury of Elune",50,"Balance.Druid","shrom"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Angelic Feather",25,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Power Word: Solace",30,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Shining Force",35,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Sins of the Many",40,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Purge the Wicked",45,"Discipline.Priest","pvpriestx"
"Priest","Discipline","Lenience",50,"Discipline.Priest","pvpriestx"
"Rogue","Subtlety","Premeditation",15,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Nightstalker",25,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Deeper Stratagem",30,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Elusiveness",35,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Prey on the Weak",40,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Enveloping Shadows",45,"Subtlety.Rogue","caliph"
"Rogue","Subtlety","Master of Shadows",50,"Subtlety.Rogue","caliph"
"Druid","Balance","Nature's Balance",15,"Balance.Druid","aem"
"Druid","Balance","Tiger Dash",25,"Balance.Druid","aem"
"Druid","Balance","Guardian Affinity",30,"Balance.Druid","aem"
"Druid","Balance","Mass Entanglement",35,"Balance.Druid","aem"
"Druid","Balance","Incarnation: Chosen of Elune",40,"Balance.Druid","aem"
"Druid","Balance","Twin Moons",45,"Balance.Druid","aem"
"Druid","Balance","Solstice",50,"Balance.Druid","aem"
"Warrior","Fury","Sudden Death",15,"Fury.Warrior","omnivore"
"Warrior","Fury","Storm Bolt",25,"Fury.Warrior","omnivore"
"Warrior","Fury","Frenzy",30,"Fury.Warrior","omnivore"
"Warrior","Fury","Warpaint",35,"Fury.Warrior","omnivore"
"Warrior","Fury","Cruelty",40,"Fury.Warrior","omnivore"
"Warrior","Fury","Bladestorm",45,"Fury.Warrior","omnivore"
"Warrior","Fury","Reckless Abandon",50,"Fury.Warrior","omnivore"
"Paladin","Retribution","Zeal",15,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Blade of Wrath",25,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Fist of Justice",30,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Eye for an Eye",35,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Divine Purpose",40,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Healing Hands",45,"Retribution.Paladin","ashpal"
"Paladin","Retribution","Sanctified Wrath",50,"Retribution.Paladin","ashpal"
"Priest","Discipline","Twist of Fate",15,"Discipline.Priest","xzz"
