"spec","class","count"
"Survival","Hunter",72
"Holy","Priest",177
"Assassination","Rogue",30
"Subtlety","Rogue",75
"Feral","Druid",41
"Enhancement","Shaman",11
"Outlaw","Rogue",10
"Restoration","Druid",68
"Demonology","Warlock",23
"Havoc","Demon Hunter",56
"Windwalker","Monk",40
"Restoration","Shaman",29
"Fire","Mage",31
"Arms","Warrior",28
"Holy","Paladin",43
"Discipline","Priest",31
"Shadow","Priest",28
"Marksmanship","Hunter",18
"Balance","Druid",5
"Fury","Warrior",24
"Beast Mastery","Hunter",49
"Mistweaver","Monk",19
"Affliction","Warlock",20
"Retribution","Paladin",9
"Destruction","Warlock",18
"Unholy","Death Knight",8
"Protection","Paladin",3
"Frost","Mage",5
"Guardian","Druid",4
"Elemental","Shaman",16
"Arcane","Mage",2
"Frost","Death Knight",4
"Brewmaster","Monk",2
"Blood","Death Knight",1
