"Var1","Freq","spec","class"
"Affliction.Warlock",289,"Affliction","Warlock"
"Arcane.Mage",15,"Arcane","Mage"
"Arms.Warrior",76,"Arms","Warrior"
"Assassination.Rogue",74,"Assassination","Rogue"
"Balance.Druid",90,"Balance","Druid"
"Beast Mastery.Hunter",82,"Beast Mastery","Hunter"
"Blood.Death Knight",6,"Blood","Death Knight"
"Brewmaster.Monk",2,"Brewmaster","Monk"
"Demonology.Warlock",159,"Demonology","Warlock"
"Destruction.Warlock",52,"Destruction","Warlock"
"Discipline.Priest",274,"Discipline","Priest"
"Elemental.Shaman",198,"Elemental","Shaman"
"Enhancement.Shaman",90,"Enhancement","Shaman"
"Feral.Druid",108,"Feral","Druid"
"Fire.Mage",66,"Fire","Mage"
"Frost.Death Knight",19,"Frost","Death Knight"
"Frost.Mage",55,"Frost","Mage"
"Fury.Warrior",357,"Fury","Warrior"
"Guardian.Druid",5,"Guardian","Druid"
"Havoc.Demon Hunter",180,"Havoc","Demon Hunter"
"Holy.Paladin",254,"Holy","Paladin"
"Holy.Priest",270,"Holy","Priest"
"Marksmanship.Hunter",81,"Marksmanship","Hunter"
"Mistweaver.Monk",110,"Mistweaver","Monk"
"Outlaw.Rogue",56,"Outlaw","Rogue"
"Protection.Paladin",15,"Protection","Paladin"
"Protection.Warrior",1,"Protection","Warrior"
"Restoration.Druid",180,"Restoration","Druid"
"Restoration.Shaman",309,"Restoration","Shaman"
"Retribution.Paladin",232,"Retribution","Paladin"
"Shadow.Priest",211,"Shadow","Priest"
"Subtlety.Rogue",83,"Subtlety","Rogue"
"Survival.Hunter",73,"Survival","Hunter"
"Unholy.Death Knight",200,"Unholy","Death Knight"
"Vengeance.Demon Hunter",2,"Vengeance","Demon Hunter"
"Windwalker.Monk",92,"Windwalker","Monk"
