"Var1","Freq","spec","class"
"Affliction.Warlock",362,"Affliction","Warlock"
"Arcane.Mage",18,"Arcane","Mage"
"Arms.Warrior",57,"Arms","Warrior"
"Assassination.Rogue",134,"Assassination","Rogue"
"Balance.Druid",296,"Balance","Druid"
"Beast Mastery.Hunter",37,"Beast Mastery","Hunter"
"Blood.Death Knight",18,"Blood","Death Knight"
"Brewmaster.Monk",5,"Brewmaster","Monk"
"Demonology.Warlock",26,"Demonology","Warlock"
"Destruction.Warlock",58,"Destruction","Warlock"
"Discipline.Priest",410,"Discipline","Priest"
"Elemental.Shaman",100,"Elemental","Shaman"
"Enhancement.Shaman",17,"Enhancement","Shaman"
"Feral.Druid",70,"Feral","Druid"
"Fire.Mage",28,"Fire","Mage"
"Frost.Death Knight",77,"Frost","Death Knight"
"Frost.Mage",62,"Frost","Mage"
"Fury.Warrior",216,"Fury","Warrior"
"Guardian.Druid",285,"Guardian","Druid"
"Havoc.Demon Hunter",185,"Havoc","Demon Hunter"
"Holy.Paladin",127,"Holy","Paladin"
"Holy.Priest",170,"Holy","Priest"
"Marksmanship.Hunter",258,"Marksmanship","Hunter"
"Mistweaver.Monk",203,"Mistweaver","Monk"
"Outlaw.Rogue",39,"Outlaw","Rogue"
"Protection.Paladin",21,"Protection","Paladin"
"Protection.Warrior",11,"Protection","Warrior"
"Restoration.Druid",191,"Restoration","Druid"
"Restoration.Shaman",113,"Restoration","Shaman"
"Retribution.Paladin",238,"Retribution","Paladin"
"Shadow.Priest",75,"Shadow","Priest"
"Subtlety.Rogue",188,"Subtlety","Rogue"
"Survival.Hunter",33,"Survival","Hunter"
"Unholy.Death Knight",120,"Unholy","Death Knight"
"Vengeance.Demon Hunter",18,"Vengeance","Demon Hunter"
"Windwalker.Monk",58,"Windwalker","Monk"
