"Var1","Freq","spec","class"
"Affliction.Warlock",299,"Affliction","Warlock"
"Arcane.Mage",5,"Arcane","Mage"
"Arms.Warrior",56,"Arms","Warrior"
"Assassination.Rogue",151,"Assassination","Rogue"
"Balance.Druid",464,"Balance","Druid"
"Beast Mastery.Hunter",18,"Beast Mastery","Hunter"
"Blood.Death Knight",10,"Blood","Death Knight"
"Brewmaster.Monk",4,"Brewmaster","Monk"
"Demonology.Warlock",94,"Demonology","Warlock"
"Destruction.Warlock",62,"Destruction","Warlock"
"Discipline.Priest",502,"Discipline","Priest"
"Elemental.Shaman",118,"Elemental","Shaman"
"Enhancement.Shaman",14,"Enhancement","Shaman"
"Feral.Druid",58,"Feral","Druid"
"Fire.Mage",28,"Fire","Mage"
"Frost.Death Knight",123,"Frost","Death Knight"
"Frost.Mage",62,"Frost","Mage"
"Fury.Warrior",245,"Fury","Warrior"
"Guardian.Druid",255,"Guardian","Druid"
"Havoc.Demon Hunter",259,"Havoc","Demon Hunter"
"Holy.Paladin",157,"Holy","Paladin"
"Holy.Priest",293,"Holy","Priest"
"Marksmanship.Hunter",215,"Marksmanship","Hunter"
"Mistweaver.Monk",235,"Mistweaver","Monk"
"Outlaw.Rogue",33,"Outlaw","Rogue"
"Protection.Paladin",18,"Protection","Paladin"
"Protection.Warrior",4,"Protection","Warrior"
"Restoration.Druid",171,"Restoration","Druid"
"Restoration.Shaman",76,"Restoration","Shaman"
"Retribution.Paladin",299,"Retribution","Paladin"
"Shadow.Priest",87,"Shadow","Priest"
"Subtlety.Rogue",281,"Subtlety","Rogue"
"Survival.Hunter",39,"Survival","Hunter"
"Unholy.Death Knight",137,"Unholy","Death Knight"
"Vengeance.Demon Hunter",13,"Vengeance","Demon Hunter"
"Windwalker.Monk",50,"Windwalker","Monk"
